3790	"Сведения по используемым спутниковым ПРМ на сети АО ""Казтелерадио""  "																
																	
	Наименование ОДРТ, ДРТ	Наименование района	Наименование РТС	 № ТВК, мгц 	Программа	Стандарт вещания	Тип приемника 	серийный , номер   .	U/A, электронный номер 	S/N, серийный номер.	Назначение 	Принадлежность ПРМ	Основная спутниковая антенна, тип антенны, размер м.	Наличие резервной спутниковой антенны, тип антенны, размер м.	Примечание 	Прием с KasSat 2	Примечание
477	Актюбинская  	Шалкарский	Котртас(Котыртас ПРС29)	33	24Kz	DigiCipher-II	DSR205K		000-03454-53079-183	2019476202005310	Основной 	"ПРМ АО ""Казтелерадио"""					
478	Актюбинская  	Хобдинский	Краснояр(Кызылжар)	11	Хабар	DigiCipher-II	DSR205K		000-03454-55204-175	2019476229009032	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-1,5м				
479	Актюбинская  	Хобдинский	Краснояр(Кызылжар)	4	Евразия	DigiCipher-II	DSR-4400		000-03137-99345-173	0245078167000521	Основной 	"ПРМ АО ""Казтелерадио"""					
480	Актюбинская  	Хобдинский	Краснояр(Кызылжар)	8	Казахстан	DigiCipher-II	DSR205K		000-03454-54488-028	2019476229022086	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
481	Актюбинская  	Хромтауский	Кудуксай	28	Казахстан	DigiCipher-II	DSR205K		000-03454-52573-047	2019476202002340	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная, d 0,9 м.		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
482	Актюбинская  	Хромтауский	Кудуксай	30	Хабар	DigiCipher-II	DSR205K		000-03454-52572-180	2019476202002609	Основной 	"ПРМ АО ""Казтелерадио"""					
483	Актюбинская  	Айтекебийский	Кумкудук	10	Хабар	DigiCipher-II	DSR205K		000-03454-59461-194	2019476235005059	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-1,5м				
484	Актюбинская  	Айтекебийский	Кумкудук	7	Казахстан	DigiCipher-II	DSR205K		000-03454-59458-053	2019476235004922	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-1,5м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
485	Актюбинская  	Темирский	Кумкудук Т	21	Хабар	DigiCipher-II	DSR205K		000-03454-57703-217	2019476235012156	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м				
486	Актюбинская  	Темирский	Кумкудук Т	33	Казахстан	DigiCipher-II	DSR205K		000-03454-58656-215	2019476234002820	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
487	Актюбинская  	Иргизский	Кумтогай	21	24Kz	DigiCipher-II	DSR205K		000-03454-52599-255	2019476202002159	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м				
488	Актюбинская  	Иргизский	Кумтогай	24	Хабар	DigiCipher-II	DSR 402		000-03086-20817-250	0707474051004229	Основной 	"ПРМ АО ""Казтелерадио"""					
489	Актюбинская  	Иргизский	Кумтогай	12	Казахстан	DigiCipher-II	DSR205K		000-03454-52769-098	201947620201060	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
490	Актюбинская  	Иргизский	Курылыс	26	Казахстан	DigiCipher-II	DSR205K		000-03454-52585-184	2019476202002418	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
491	Актюбинская  	Иргизский	Курылыс	28	Хабар	DigiCipher-II	DSR205K		000-03454-52687-187	2019476202002333	Основной 	"ПРМ АО ""Казтелерадио"""					
492	Актюбинская  	Мартукский	Мартук	10	Хабар	DigiCipher-II	DSR205K		000-03454-55274-025	2019476229001227	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-1,5м			да	
493	Актюбинская  	Мартукский	Мартук	6	Евразия	DigiCipher-II	DSR-4400		000-03137-99541-185	0254078177000863	Основной 	"ПРМ АО ""Казтелерадио"""				да	
494	Актюбинская  	Мартукский	Мартук	12	Казахстан	DigiCipher-II	DSR205K		000-03454-59215-096	2019476234019088	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	да	
495	Актюбинская  	Мартукский	Мартук	38	24Kz	DigiCipher-II	DSR205K		000-03454-52593-147	2019476202002234	Основной 	"ПРМ АО ""Казтелерадио"""				да	
496	Актюбинская  	Мартукский	Мартук	100.8	КазРВ	DigiCipher-II	DSR205K		000-03454-57308-223	2019476234014939	Основной 					да	
497	Актюбинская  	Хобдинский	Михайловка(Курсай)	3	Хабар	DigiCipher-II	DSR205K		000-03454-52975-201	2019476202003330	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-1,5м				
498	Актюбинская  	Хобдинский	Михайловка(Курсай)	4	Казахстан	DigiCipher-II	DSR205K		000-03454-57932-003	2019476235009613	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
499	Актюбинская  	Хромтауский	Молодежное(Копа)	6	Хабар	DigiCipher-II	DSR401		000-03427-01447-151	0615441333005304	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м				
500	Актюбинская  	Хромтауский	Молодежное(Копа)	12	Казахстан	DigiCipher-II	DSR205K		000-03454-56311-048	2019476229017501	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
501	Актюбинская  	Мугалжарский	Мугалжар(Мугоджарское)	22	Казахстан	DigiCipher-II	DSR205K		000-03454-52784-203	2019476202002708	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
502	Актюбинская  	Мугалжарский	Мугалжар(Мугоджарское)	28	Хабар	DigiCipher-II	DSR205K		000-0345452677015	2019476202002586	Основной 	"ПРМ АО ""Казтелерадио"""					
503	Актюбинская  	Мугалжарский	Мугалжар(Мугоджарское)	100.5	КазРВ	DigiCipher-II	DSR205K		000-03454-60065-219	2019476235012972	Основной 						
504	Актюбинская  	Мугалжарский	Новая База(Бирлик)	4	Хабар	DigiCipher-II	DSR205K		000-03454-57249-009	2019476234014378	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-1,5м				
505	Актюбинская  	Мугалжарский	Новая База(Бирлик)	22	Казахстан	DigiCipher-II	DSR205K		000-0345453085-003	2019476202005488	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
506	Актюбинская  	Хобдинский	Отек(Новоалександровка)	4	Хабар	DigiCipher-II	DSR-4400		000-03137-99120-160	0254078166000126	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-1,5м				
507	Актюбинская  	Мугалжарский	Новогоднее(Кайынды)	6	Хабар	DigiCipher-II	DSR205K		000-03454-56149-242	2019476229022666	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,8м				
508	Актюбинская  	Мугалжарский	Новогоднее(Кайынды)	4	Казахстан	DigiCipher-II	DSR205K		000-03454-60100-038	2019476235006889	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
509	Актюбинская  	Мартукский	Новомихайловка(Байнассай)	3	Хабар	DigiCipher-II	DSR401		000-03427-01528-131	0615441333004499	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м				
510	Актюбинская  	Мартукский	Новомихайловка(Байнассай)	5	Евразия	DigiCipher-II	DSR-4400		000-03137-99670-132	0254078209000816	Основной 	"ПРМ АО ""Казтелерадио"""					
511	Актюбинская  	Мартукский	Новомихайловка(Байнассай)	12	Казахстан	DigiCipher-II	DSR205K		000-03454-52590-079	2019476202002364	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
512	Актюбинская  	Байганинский	Ногайты	34	Казахстан	DigiCipher-II	DSR 402		000-03086-28345-182	070 747 504 700 5084	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
513	Актюбинская  	Байганинский	Ногайты	36	Хабар	DigiCipher-II	DSR205K		000-03454-58808-037	2019476234010917	Основной 	"ПРМ АО ""Казтелерадио"""					
514	Актюбинская  	Иргизский	Нура	4	Казахстан	DigiCipher-II	DSR-4400		000-03137-99514-051	0254078177001587	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая д-4,0м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
515	Актюбинская  	Иргизский	Нура	8	Хабар	DigiCipher-II	DSR-4400		000-03137-99641-014	0254078195006786	Основной 	"ПРМ АО ""Казтелерадио"""					
516	Актюбинская  	Байганинский	Оймаут	5	Хабар	DigiCipher-II	DSR-4400		000-03137-99173-049	0254078195007783	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м				
517	Актюбинская  	Байганинский	Оймаут	3	Казахстан	DigiCipher-II	DSR-4400		000-03137-39762-148	0254017191001739	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
518	Актюбинская  	Мартукский	ПОКРОВКА	22	Казахстан	DigiCipher-II	DSR205K		000-03454-57765-188	2019476235008135	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
519	Актюбинская  	Мартукский	ПОКРОВКА	31	Хабар	DigiCipher-II	DSR205K		000-03454-52691-081	2019476202002142	Основной 	"ПРМ АО ""Казтелерадио"""					
520	Актюбинская  	Мугалжарский	Покровка(Сагашили)	5	Хабар	DigiCipher-II	DSR205K		000-03454-55272-180	2019476229006413	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,8м				
521	Актюбинская  	Мугалжарский	Покровка(Сагашили)	22	Казахстан	DigiCipher-II	DSR205K		000-03454-52612-087	2019476229006413	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
522	Актюбинская  	Айтекебийский	Псковское(Айке)	5	Хабар	DigiCipher-II	DSR-4400		000-03137-99548-059	0254078177001143	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d -1,2м				
523	Актюбинская  	Айтекебийский	Псковское(Айке)	22	Казахстан	DigiCipher-II	DSR205K		000-03454-50304-059	2019476234013215	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
524	Актюбинская  	Хобдинский	Пятигорка(Бестау)	1	Хабар	DigiCipher-II	DSR-4400		000-03138-00527-003	0254078210004155	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-1,5м				
525	Актюбинская  	Мугалжарский	Родники(Булакты)	4	Казахстан	DigiCipher-II	DSR205K		 000-03454-53016-160 	2019476202004146	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
526	Актюбинская  	Мугалжарский	Родники(Булакты)	24	Хабар	DigiCipher-II	DSR-4400		000-03137-39761-162	0254017192000182	Основной 	"ПРМ АО ""Казтелерадио"""					
527	Актюбинская  	Мартукский	Рыбаковка(Жанажол)	26	Казахстан	DigiCipher-II	DSR 402		000-03086-28325-092	707475047004933	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
528	Актюбинская  	Мартукский	Рыбаковка(Жанажол)	28	Хабар	DigiCipher-II	DSR401		000-03427-00303-221	0615441320034011	Основной 	"ПРМ АО ""Казтелерадио"""					
529	Актюбинская  	Айтекебийский	Сарат	5	Казахстан	DigiCipher-II	DSR 402		000-03086-27412-114	0707475046007492	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
530	Актюбинская  	Айтекебийский	Сарат	24	Хабар	DigiCipher-II	DSR-4400		000-03138-00530-114	0254078222002323010	Основной 	"ПРМ АО ""Казтелерадио"""					
531	Актюбинская  	Уилский	Сарбие(Сарбас)	38	Казахстан	DigiCipher-II	DSR 402		000-03086-22261-081	0707474054001584	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
532	Актюбинская  	Уилский	Сарбие(Сарбас)	36	Хабар	DigiCipher-II	DSR 402		000-03086-22543-025	0707474051018950	Основной 	"ПРМ АО ""Казтелерадио"""					
533	Актюбинская  	Хобдинский	Сарбулак	21	Хабар	DigiCipher-II	DSR205K		000-03454-56178-097	2019476229007700	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м				
534	Актюбинская  	Хобдинский	Сарбулак	33	Казахстан	DigiCipher-II	DSR401		000-033086-21823-001	0707474051012323	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
537	Актюбинская  	Мартукский	Студенческое(Борте)	25	Казахстан	DigiCipher-II	DSR 402		000 030 862 847 4139	070 747 504 700 6128	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
538	Актюбинская  	Мартукский	Студенческое(Борте)	27	Хабар	DigiCipher-II	DSR 402		000 030 862 890 8105	070 747 504 700 6081	Основной 	"ПРМ АО ""Казтелерадио"""					
539	Актюбинская  	Айтекебийский	Сулукол(Восточное)	9	Хабар	DigiCipher-II	DSR205K		000-03454-59690-139	2019476235001167	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м				
540	Актюбинская  	Айтекебийский	Сулукол(Восточное)	11	Казахстан	DigiCipher-II	DSR205K		000-03454-57491-228	2019476235012811	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
541	Актюбинская  	Хромтауский	Табантал	4	Хабар	DigiCipher-II	DSR205K		000-03454-54498-254	2019476229014234	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-1,5м				
542	Актюбинская  	Шалкарский	Талдыкум	22	Казахстан	DigiCipher-II	DSR205K		000-03454-57937-245	2019476235002645	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
543	Актюбинская  	Шалкарский	Талдыкум	24	Хабар	DigiCipher-II	DSR205K		000-03454-52696-126	2019476202001831	Основной 	"ПРМ АО ""Казтелерадио"""					
544	Актюбинская  	Мугалжарский	Талдысай	5	Хабар	DigiCipher-II	DSR205K		000-03454-57712-028	2019476235010910	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-1,5м				
545	Актюбинская  	Мугалжарский	Талдысай	3	Казахстан	DigiCipher-II	DSR205K		000-03454-59593-017	2019476235011220	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
546	Актюбинская  	Иргизский	Тауп(Куйлыс)	5	Казахстан	DigiCipher-II	DSR205K		000-03454-59687-200	2019476235007657	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая д-4,0м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
547	Актюбинская  	Иргизский	Тауп(Куйлыс)	24	Хабар	DigiCipher-II	DSR205K		000-03454-56698-240	2019476234005450	Основной 	"ПРМ АО ""Казтелерадио"""					
548	Актюбинская  	Темирский	Темир	5	Хабар	DigiCipher-II	DSR-4400		000-03137-99495-066	0264076177000628	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-1,5м				
549	Актюбинская  	Темирский	Темир	7	Казахстан	DigiCipher-II	DSR205K		000-03454-56151-095	2019476229014647	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
550	Актюбинская  	Темирский	Темир	9	24Kz	DigiCipher-II	DSR-4400		000-03137-97469-143	0264076166000041	Основной 	"ПРМ АО ""Казтелерадио"""					
551	Актюбинская  	Айтекебийский	Теренсай	22	Казахстан	DigiCipher-II	DSR205K		000-0345-452992-139	2019476202003347	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d -1,2м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
552	Актюбинская  	Айтекебийский	Теренсай	24	Хабар	DigiCipher-II	DSR205K		000-03454-52614-250	2019476202001862	Основной 	"ПРМ АО ""Казтелерадио"""					
553	Актюбинская  	Шалкарский	Тогыз	26	Казахстан	DigiCipher-II	DSR205K		000-03454-52728-026	2019476202000711	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
554	Актюбинская  	Шалкарский	Тогыз	28	Хабар	DigiCipher-II	DSR205K		000-03454-52567-155	2019476202002654	Основной 	"ПРМ АО ""Казтелерадио"""					
555	Актюбинская  	Айтекебийский	Толыбай К.	22	Казахстан	DigiCipher-II	DSR-4400		000-03137-99726-014	254078208002170	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,8м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
556	Актюбинская  	Айтекебийский	Толыбай К.	6	Хабар	DigiCipher-II	DSR205K		000-0345-452767-065	201947202002371	Основной 	"ПРМ АО ""Казтелерадио"""					
557	Актюбинская  	Айтекебийский	Тымабулак	4	Хабар	DigiCipher-II	DSR-4400		000-03137-99638-224	0254078195006601	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-1,5м				
558	Актюбинская  	Айтекебийский	Тымабулак	22	Казахстан	DigiCipher-II	DSR205K		000-03454-52774-149	2019476202001145	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
559	Актюбинская  	Уилский	Уил(Ойыл)	4	Хабар	DigiCipher-II	DSR205K		000-03454-54517-059	2019476229013718	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м			да	
560	Актюбинская  	Уилский	Уил(Ойыл)	11	Евразия	DigiCipher-II	DSR205K		000-03454-59524-145	2019476235004342	Основной 	"ПРМ АО ""Казтелерадио"""				да	
561	Актюбинская  	Уилский	Уил(Ойыл)	2	Казахстан	DigiCipher-II	DSR205K		000-03454-58099-055	2019476235013955	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	да	
562	Актюбинская  	Уилский	Уил(Ойыл)	6	24Kz	DigiCipher-II	DSR205K		000-03454-52547-104	2019476202000063	Основной 	"ПРМ АО ""Казтелерадио"""				да	
563	Актюбинская  	Айтекебийский	УШКАТЫ	26	Казахстан	DigiCipher-II	DSR205K		000-0345-452591-212	2019476202002326	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d -1,2м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
564	Актюбинская  	Айтекебийский	УШКАТЫ	28	Хабар	DigiCipher-II	DSR205K		000-0345-452834-129	2019476202002920	Основной 	"ПРМ АО ""Казтелерадио"""					
565	Актюбинская  	Карагалинский	Херсон	6	Казахстан	DigiCipher-II	DSR205K		000-03454-52583-205	2019476202002449	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая д-3м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
566	Актюбинская  	Карагалинский	Херсон	55	Хабар	DigiCipher-II	DSR205K		000-03454-58870-147	2019476234009539	Основной 	"ПРМ АО ""Казтелерадио"""					
567	Актюбинская  	Хобдинский	Хобда(Новоалексеевка)	10	Хабар	DigiCipher-II	DSR 402		000-03086-28000-216	0707475046009540	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м				
568	Актюбинская  	Хобдинский	Хобда(Новоалексеевка)	12	Евразия	DigiCipher-II	DSR205K		000-03454-57662-200	2019476235002829	Основной 	"ПРМ АО ""Казтелерадио"""					
569	Актюбинская  	Хобдинский	Хобда(Новоалексеевка)	7	24Kz	DigiCipher-II	DSR205K		000-03454-54411-219	2019476229026510	Основной 	"ПРМ АО ""Казтелерадио"""					
570	Актюбинская  	Хобдинский	Хобда(Новоалексеевка)	1	Казахстан	DigiCipher-II	DSR205K		000-03454-57279-078	2019476234019958	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
571	Актюбинская  	Мартукский	Хазретовка	30	Казахстан	DigiCipher-II	DSR205K		000-03454-52594-165	2019476202002227	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
572	Актюбинская  	Мартукский	Хазретовка	32	Хабар	DigiCipher-II	DSR205K		000-03454-52758-195	2019476202002111	Основной 	"ПРМ АО ""Казтелерадио"""					
573	Актюбинская  	Хромтауский	Хромтау	5	Хабар	DigiCipher-II	DSR401		000-03427-00258-047	0615441323004485	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м			да	
574	Актюбинская  	Хромтауский	Хромтау	9	Евразия	DigiCipher-II	DSR 402		000-03086-21487-237	0707474051006544	Основной 	"ПРМ АО ""Казтелерадио"""				да	
575	Актюбинская  	Хромтауский	Хромтау	6	Казахстан	DigiCipher-II	DSR205K		000-03454-56914-155	2019476234009089	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	да	
576	Актюбинская  	Хромтауский	Хромтау	102  (100,3)	КазРВ	DigiCipher-II	DSR 402		000-03086-27346-214 	707475046004156	Основной 					да	
577	Актюбинская  	Хромтауский	Хромтау	33	24Kz	DigiCipher-II	DSR205K		000-03454-60050-187	2019476235008197	Основной 	"ПРМ АО ""Казтелерадио"""				да	
578	Актюбинская  	Мартукский	Чайда	22	Казахстан	DigiCipher-II	DSR205K		000-03454-52995-189	2019476202003439	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
579	Актюбинская  	Мартукский	Чайда	24	Хабар	DigiCipher-II	DSR205K		000-03454-52821-099	2019476202002821 	Основной 	"ПРМ АО ""Казтелерадио"""					
580	Актюбинская  	Шалкарский	Шалкар	4	Евразия	DigiCipher-II	DSR205K		000-03454-57662-124	2019476235007077	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м			да	
581	Актюбинская  	Шалкарский	Шалкар	10	Казахстан	DigiCipher-II	DSR205K		000-03454-52877-195	2016476202005280	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	да	
582	Актюбинская  	Шалкарский	Шалкар	101.4	КазРВ	DigiCipher-II	DSR-4400		000-03137-28678-236	0254017183000702	Основной 					да	
583	Актюбинская  	Шалкарский	Шалкар	12	Хабар	DigiCipher-II	DSR401		000-03427-00278-220	0615441323005253	Основной 	"ПРМ АО ""Казтелерадио"""				да	
584	Актюбинская  	Шалкарский	Шалкар	7	24Kz	DigiCipher-II	DSR205K		000-03454-59454-110	2019476235010565	Основной 	"ПРМ АО ""Казтелерадио"""				да	
585	Актюбинская  	Иргизский	ШЕНБЕРТАЛ	43	Хабар	DigiCipher-II	DSR205K		000-03454-52698-211	2019476202001527 	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м				
586	Актюбинская  	Иргизский	ШЕНБЕРТАЛ	41	Казахстан	DigiCipher-II	DSR205K		000-03454-52714-133	2019476202001763 	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
587	Актюбинская  	Шалкарский	Шетиргиз	4	Хабар	DigiCipher-II	DSR205K		000-03454-58733-133	2019476234000123	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м				
588	Актюбинская  	Шалкарский	Шетиргиз	2	Казахстан	DigiCipher-II	DSR205K		000-03454-59459-174	2019476234012881	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
589	Актюбинская  	Шалкарский	Шиликти	21	Казахстан	DigiCipher-II	DSR205K		000-03454-57810-222	2019476235006988	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
590	Актюбинская  	Шалкарский	Шиликти	24	Хабар	DigiCipher-II	DSR205K		000-03454-54380-128	2019476229020761	Основной 	"ПРМ АО ""Казтелерадио"""					
591	Актюбинская  	Темирский	Шубаркудук	12	Хабар	DigiCipher-II	DSR-4400		000-03137-29020-180	0254047191002194	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м				
592	Актюбинская  	Темирский	Шубаркудук	6	Евразия	DigiCipher-II	DSR205K		000-03454-52560-108	2019476202002883	Основной 	"ПРМ АО ""Казтелерадио"""					
593	Актюбинская  	Темирский	Шубаркудук	3	Казахстан	DigiCipher-II	DSR205K		000-03454-56931-086	201947623401556	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 		
594	Актюбинская  	Темирский	Шубаркудук	43	24Kz	DigiCipher-II	DSR205K		000-03454-56599-138	2019476232017682	Основной 	"ПРМ АО ""Казтелерадио"""					
595	Актюбинская  	Байганинский	Эбейты(Ебейты)	3	Хабар	DigiCipher-II	DSR-4400		000-03138-00446-211	245078208002651	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м				
